chr	pos	N	X
chr18	3014904	26	2
chr18	3031032	33	12
chr18	3031044	33	13
chr18	3031065	48	24
chr18	3031069	17	4
chr18	3031082	93	37
chr18	3031089	76	25
chr18	3031092	76	28
chr18	3031129	1	0
chr18	3031244	23	8
chr18	3031256	23	10
chr18	3031277	39	13
chr18	3031281	16	4
chr18	3031294	114	39
chr18	3031301	98	25
chr18	3031304	98	33
chr18	3031411	22	10
chr18	3031456	10	6
chr18	3031468	11	5
chr18	3031489	37	18
chr18	3031493	28	11
chr18	3031506	108	40
chr18	3031513	81	25
chr18	3031516	81	30
chr18	3031584	1	0
chr18	3031598	16	5
chr18	3031623	15	7
chr18	3031668	17	8
chr18	3031680	18	10
chr18	3031701	40	20
chr18	3031705	24	9
chr18	3031719	23	9
chr18	3037325	53	17
chr18	3037554	2	1
chr18	3037572	2	1
chr18	3040131	19	19
chr18	3040161	19	19
chr18	3040395	4	0
chr18	3040406	4	0
chr18	3041353	1	0
chr18	3047980	2	0
chr18	3047982	2	2
chr18	3048006	2	2
chr18	3051902	77	0
chr18	3052681	13	5
chr18	3052711	12	4
chr18	3092642	39	23
chr18	3092666	39	18
chr18	3092677	82	2
chr18	3092695	82	33
chr18	3092704	81	19
chr18	3092744	5	5
chr18	3092819	12	5
chr18	3098304	46	14
chr18	3098454	46	10
chr18	3141075	52	13
chr18	3141225	47	14
chr18	3155844	55	0
chr18	3196581	115	59
chr18	3196675	1	1
chr18	3196691	1	0
chr18	3196736	89	64
chr18	3196745	78	0
chr18	3196760	78	35
chr18	3203345	4	1
chr18	3203467	7	7
chr18	3216958	21	16
chr18	3216982	21	0
chr18	3217222	2	0
chr18	3217224	2	0
chr18	3217226	2	0
chr18	3217241	2	0
chr18	3217248	100	51
chr18	3217344	27	15
chr18	3217370	56	42
chr18	3217373	29	17
chr18	3217402	29	22
chr18	3220055	21	14
chr18	3226348	1	0
chr18	3227370	64	1
chr18	3227377	65	2
chr18	3227401	64	11
chr18	3227435	1	0
chr18	3227453	29	28
chr18	3227461	28	28
chr18	3227512	57	20
chr18	3227546	51	44
chr18	3227566	11	5
chr18	3227571	11	0
chr18	3227581	11	0
chr18	3232665	18	6
chr18	3232717	18	12
chr18	3233280	57	29
chr18	3233430	43	16
chr18	3255233	25	19
chr18	3255360	43	16
chr18	3336787	5	0
chr18	3336804	5	0
chr18	3336810	5	0
chr18	3336853	1	0
chr18	3336873	1	0
chr18	3336887	1	0
chr18	3337147	1	0
chr18	3337151	1	0
chr18	3337159	131	0
chr18	3337174	130	0
chr18	3337187	130	0
chr18	3337190	132	1
chr18	3337201	8	0
chr18	3337208	9	1
chr18	3337218	191	1
chr18	3337222	190	1
chr18	3337228	190	0
chr18	3337233	189	1
chr18	3337238	182	0
chr18	3337244	181	0
chr18	3337272	1	0
chr18	3337284	1	0
chr18	3337288	1	0
chr18	3337291	1	0
chr18	3337305	1	0
chr18	3337317	1	0
chr18	3337332	1	0
chr18	3337335	1	0
chr18	3337339	1	0
chr18	3337342	1	0
chr18	3337344	1	0
chr18	3337976	478	0
chr18	3337982	474	0
chr18	3337984	475	1
chr18	3337993	478	1
chr18	3338006	470	0
chr18	3368649	180	136
chr18	3370048	16	15
chr18	3373046	8	8
chr18	3373200	2	0
chr18	3383064	185	0
chr18	3383071	184	0
chr18	3383083	185	0
chr18	3383232	253	0
chr18	3383240	253	0
chr18	3383246	253	0
chr18	3383249	253	0
chr18	3383265	253	0
chr18	3383275	99	0
chr18	3383282	102	1
chr18	3383284	102	0
chr18	3383296	192	0
chr18	3383299	191	0
chr18	3383302	192	0
chr18	3383305	193	0
chr18	3383316	91	0
chr18	3383322	91	0
chr18	3383451	375	0
chr18	3383454	370	0
chr18	3383464	374	0
chr18	3383475	371	0
chr18	3383483	372	0
chr18	3383601	94	0
chr18	3406022	1	0
chr18	3406071	12	11
chr18	3448796	1	1
chr18	3448801	1	1
chr18	3484663	55	16
chr18	3484813	51	17
chr18	3498975	119	0
chr18	3507051	144	144
chr18	3507081	146	146
chr18	3507132	139	0
chr18	3507136	139	0
chr18	3507139	139	0
chr18	3507141	139	0
chr18	3507145	139	0
chr18	3507151	138	0
chr18	3507154	138	0
chr18	3507458	125	0
chr18	3507602	10	0
chr18	3507610	10	0
chr18	3507652	1	0
chr18	3507664	1	0
chr18	3507806	1	0
chr18	3507818	1	0
chr18	3507827	1	1
chr18	3507990	1	0
chr18	3508001	1	0
chr18	3508369	34	0
chr18	3508385	34	1
chr18	3508398	34	0
chr18	3542403	7	0
chr18	3542501	84	84
chr18	3542504	87	87
chr18	3542531	87	87
chr18	3542633	1	1
chr18	3580263	54	20
chr18	3580413	81	35
chr18	3580518	5	3
chr18	3586533	34	19
chr18	3586536	34	19
chr18	3586557	34	0
chr18	3586569	1	0
chr18	3586601	7	5
chr18	3586635	4	4
chr18	3604192	52	52
chr18	3604339	47	18
chr18	3604891	13	6
chr18	3604943	3	1
chr18	3609053	1	0
chr18	3609064	2	2
chr18	3609094	2	2
chr18	3614717	1	0
chr18	3614806	11	8
chr18	3620166	3	2
chr18	3620170	3	1
chr18	3620178	23	17
chr18	3620180	22	22
chr18	3620200	23	14
chr18	3620207	20	14
chr18	3621099	9	9
chr18	3621115	15	10
chr18	3621125	15	13
chr18	3621133	15	12
chr18	3621138	6	6
chr18	3622061	65	52
chr18	3622095	64	41
chr18	3622172	43	39
chr18	3622530	1	1
chr18	3622712	68	44
chr18	3705370	5	4
chr18	3705423	38	19
chr18	3705432	101	0
chr18	3705461	81	44
chr18	3705472	74	54
chr18	3711032	61	24
chr18	3711182	47	13
chr18	3723314	36	23
chr18	3723343	37	22
chr18	3723346	105	68
chr18	3723448	1	0
chr18	3723468	10	5
chr18	3763923	4	1
chr18	3785468	117	55
chr18	3785543	3	2
chr18	3785576	3	2
chr18	3785583	11	11
chr18	3785592	35	0
chr18	3785621	90	45
chr18	3785645	66	30
chr18	3785662	1	1
chr18	3785679	44	33
chr18	3818286	5	0
chr18	3818296	5	0
chr18	3818338	14	7
chr18	3840253	18	0
chr18	3840289	12	4
chr18	3840301	11	3
chr18	3840309	11	3
chr18	3863970	1	0
chr18	3864066	88	0
chr18	3864084	88	0
chr18	3864099	1	0
chr18	3864106	1	1
chr18	3864118	1	1
chr18	3869604	6	6
chr18	3869611	5	5
chr18	3875051	57	17
chr18	3875054	76	73
chr18	3875080	19	8
chr18	3875148	292	9
chr18	3875176	315	14
chr18	3875186	22	11
chr18	3875201	47	23
chr18	3875216	44	25
chr18	3875231	19	13
chr18	3875236	19	9
chr18	3927796	1	0
chr18	3927921	628	271
chr18	3955991	22	2
chr18	3956141	49	14
chr18	3973699	2	2
chr18	3973750	78	78
chr18	3973778	79	78
chr18	3976129	66	0
chr18	3976138	66	0
chr18	3976190	114	0
chr18	3976209	114	0
chr18	3976220	114	0
chr18	3976224	155	12
chr18	3976243	41	22
chr18	3976247	41	22
chr18	3976279	43	20
chr18	3976295	44	14
chr18	3976304	44	20
chr18	4022027	72	27
chr18	4022058	74	33
chr18	4022079	17	3
chr18	4022083	17	4
chr18	4022096	118	41
chr18	4022103	102	31
chr18	4022106	102	40
chr18	4022174	1	0
chr18	4022188	31	6
chr18	4022213	29	10
chr18	4022258	28	10
chr18	4022270	28	12
chr18	4022291	49	28
chr18	4022295	21	14
chr18	4022308	21	15
chr18	4022400	26	11
chr18	4022425	26	12
chr18	4022451	91	31
chr18	4022482	91	38
chr18	4022503	11	4
chr18	4022507	11	4
chr18	4022520	114	45
chr18	4022527	104	32
chr18	4022530	104	37
chr18	4022637	31	18
chr18	4022682	22	8
chr18	4022694	23	9
chr18	4022715	44	19
chr18	4022719	22	6
chr18	4022732	136	67
chr18	4022742	115	41
chr18	4022849	28	9
chr18	4022894	18	3
chr18	4022906	18	4
chr18	4022927	32	10
chr18	4022931	15	4
chr18	4022944	110	41
chr18	4022951	95	35
chr18	4022954	95	32
chr18	4023036	21	3
chr18	4023061	20	7
chr18	4023106	28	15
chr18	4023118	29	15
chr18	4023139	56	31
chr18	4023143	30	21
chr18	4023156	29	16
chr18	4023248	22	8
chr18	4023273	21	10
chr18	4023318	22	12
chr18	4023330	23	12
chr18	4023351	53	26
chr18	4023355	31	10
chr18	4023369	30	13
chr18	4028975	30	10
chr18	4029204	1	0
chr18	4029222	1	0
chr18	4052554	273	273
chr18	4052570	273	272
chr18	4052572	273	0
chr18	4052586	267	266
chr18	4166700	68	28
chr18	4166849	91	43
chr18	4199300	591	4
chr18	4199305	600	0
chr18	4199309	599	1
chr18	4199320	601	1
chr18	4199322	601	0
chr18	4199327	600	1
chr18	4222498	10	6
chr18	4222529	14	8
chr18	4222533	4	4
chr18	4222582	85	78
chr18	4222590	85	64
chr18	4222608	85	66
chr18	4222676	2	1
chr18	4222679	2	1
chr18	4222688	21	18
chr18	4222733	3	1
chr18	4222758	1	1
chr18	4222768	2	0
chr18	4222786	6	4
chr18	4222794	4	4
chr18	4222812	4	4
chr18	4222880	40	25
chr18	4222883	40	27
chr18	4222892	40	26
chr18	4222906	40	33
chr18	4227852	28	7
chr18	4227862	28	6
chr18	4227904	14	5
chr18	4228467	66	37
chr18	4228613	45	0
chr18	4321671	1	0
chr18	4321926	1	1
chr18	4337493	4	0
chr18	4337497	4	1
chr18	4337510	7	3
chr18	4352969	216	0
chr18	4352999	217	0
chr18	4353115	77	0
chr18	4353255	79	0
chr18	4353259	78	0
chr18	4353269	79	0
chr18	4353288	79	0
chr18	4353338	1	0
chr18	4353427	194	0
chr18	4353440	196	0
chr18	4353454	196	0
chr18	4353461	195	0
chr18	4375790	43	0
chr18	4375795	43	0
chr18	4375799	43	0
chr18	4375806	43	0
chr18	4375810	43	0
chr18	4414985	15	8
chr18	4414989	15	8
