chr	pos	N	X
chr18	3014740	14	13
chr18	3014769	14	0
chr18	3014904	61	42
chr18	3031032	41	13
chr18	3031044	40	12
chr18	3031065	67	26
chr18	3031069	27	9
chr18	3031082	127	40
chr18	3031089	101	27
chr18	3031092	102	30
chr18	3031216	135	134
chr18	3031225	133	131
chr18	3031244	42	7
chr18	3031256	41	11
chr18	3031277	65	18
chr18	3031281	24	9
chr18	3031294	113	36
chr18	3031301	90	22
chr18	3031304	90	28
chr18	3031411	22	9
chr18	3031456	31	9
chr18	3031468	31	12
chr18	3031489	70	32
chr18	3031493	37	14
chr18	3031506	145	47
chr18	3031513	108	24
chr18	3031516	108	35
chr18	3031598	19	9
chr18	3031623	18	11
chr18	3031668	50	13
chr18	3031680	49	17
chr18	3031701	105	42
chr18	3031705	56	20
chr18	3031719	56	18
chr18	3037325	58	20
chr18	3037554	2	1
chr18	3037572	2	1
chr18	3040395	32	27
chr18	3040406	31	26
chr18	3047968	7	3
chr18	3047980	42	3
chr18	3047982	41	36
chr18	3048006	35	0
chr18	3049690	1	0
chr18	3049692	1	1
chr18	3049699	1	1
chr18	3051902	20	20
chr18	3052681	38	16
chr18	3052711	37	0
chr18	3052756	22	18
chr18	3092642	27	15
chr18	3092666	26	19
chr18	3092677	67	31
chr18	3092695	67	39
chr18	3092704	65	32
chr18	3092819	74	17
chr18	3098304	35	17
chr18	3098454	41	18
chr18	3101799	198	0
chr18	3101872	56	0
chr18	3101887	56	0
chr18	3101899	55	22
chr18	3112983	88	58
chr18	3113115	1	1
chr18	3141075	36	12
chr18	3141225	51	11
chr18	3155844	38	11
chr18	3156029	3	2
chr18	3171736	24	0
chr18	3171748	24	3
chr18	3171858	5	0
chr18	3196581	57	31
chr18	3196675	1	0
chr18	3196691	2	0
chr18	3196698	1	0
chr18	3196736	63	43
chr18	3196745	46	1
chr18	3196760	49	29
chr18	3196777	3	3
chr18	3196779	3	3
chr18	3196794	3	3
chr18	3203345	44	44
chr18	3203467	17	17
chr18	3216958	13	3
chr18	3216982	15	4
chr18	3217222	3	3
chr18	3217224	3	3
chr18	3217226	3	3
chr18	3217241	3	0
chr18	3217248	115	59
chr18	3217344	24	12
chr18	3217370	57	40
chr18	3217373	32	14
chr18	3217402	33	16
chr18	3217537	3	1
chr18	3217569	3	1
chr18	3220055	11	6
chr18	3220263	1	1
chr18	3220273	1	0
chr18	3226251	74	73
chr18	3226348	11	0
chr18	3227370	28	1
chr18	3227377	28	1
chr18	3227401	28	4
chr18	3227453	124	75
chr18	3227461	125	34
chr18	3227512	108	73
chr18	3227546	80	41
chr18	3227566	45	3
chr18	3227571	44	13
chr18	3227581	30	2
chr18	3232665	28	18
chr18	3232717	31	12
chr18	3233280	32	13
chr18	3233430	40	10
chr18	3255233	51	10
chr18	3255360	32	13
chr18	3336787	89	1
chr18	3336804	54	0
chr18	3336810	55	0
chr18	3336853	89	0
chr18	3336873	89	0
chr18	3336887	87	0
chr18	3337147	3	0
chr18	3337151	3	0
chr18	3337155	3	0
chr18	3337159	63	0
chr18	3337174	60	0
chr18	3337187	58	0
chr18	3337190	60	0
chr18	3337218	6	0
chr18	3337222	6	0
chr18	3337228	6	0
chr18	3337233	6	0
chr18	3337238	6	0
chr18	3337244	28	0
chr18	3337255	21	0
chr18	3337261	22	0
chr18	3337266	22	0
chr18	3337268	22	0
chr18	3337272	90	0
chr18	3337276	91	0
chr18	3337280	69	0
chr18	3337284	68	0
chr18	3337288	67	0
chr18	3337291	69	0
chr18	3337305	126	1
chr18	3337309	57	0
chr18	3337317	57	0
chr18	3337319	56	0
chr18	3337324	57	0
chr18	3337332	57	0
chr18	3337335	57	0
chr18	3337339	55	0
chr18	3337422	1	0
chr18	3337438	30	1
chr18	3337447	31	0
chr18	3337450	30	0
chr18	3337454	29	0
chr18	3337457	30	0
chr18	3337470	30	0
chr18	3347896	55	55
chr18	3347936	46	23
chr18	3368649	24	16
chr18	3370048	14	0
chr18	3370113	46	0
chr18	3370141	46	0
chr18	3372977	2	2
chr18	3373131	3	0
chr18	3373200	1	0
chr18	3383064	65	0
chr18	3383071	62	0
chr18	3383083	66	0
chr18	3383161	383	0
chr18	3383178	385	0
chr18	3383181	380	0
chr18	3383191	385	0
chr18	3383232	61	1
chr18	3383240	199	0
chr18	3383246	197	1
chr18	3383249	197	0
chr18	3383265	197	0
chr18	3383275	53	0
chr18	3383282	53	0
chr18	3383284	54	0
chr18	3383296	110	0
chr18	3383299	109	0
chr18	3383302	109	0
